Y=-200, Z=-318
X=40, Y=-200, Z=-319
X=39, Y=-200, Z=-318
X=37, Y=-201, Z=-318
X=38, Y=-200, Z=-319
X=38, Y=-200, Z=-319
X=39, Y=-200, Z=-318
X=39, Y=-200, Z=-319
X=39, Y=-200, Z=-318
X=38, Y=-200, Z=-319
X=40, Y=-201, Z=-317
X=42, Y=-200, Z=-319
X=41, Y=-201, Z=-320
X=44, Y=-201, Z=-321
X=46, Y=-201, Z=-320
X=43, Y=-201, Z=-318
X=44, Y=-200, Z=-320
X=43, Y=-199, Z=-319
X=43, Y=-200, Z=-320
X=42, Y=-201, Z=-320
X=43, Y=-202, Z=-320
X=41, Y=-202, Z=-319
X=40, Y=-202, Z=-320
X=43, Y=-202, Z=-320
X=43, Y=-201, Z=-321
X=42, Y=-201, Z=-321
X=43, Y=-201, Z=-321
X=41, Y=-202, Z=-321
X=40, Y=-201, Z=-322
X=41, Y=-199, Z=-321
X=42, Y=-199, Z=-320
X=44, Y=-199, Z=-321
X=45, Y=-201, Z=-322
X=44, Y=-199, Z=-321
X=44, Y=-200, Z=-321
X=45, Y=-200, Z=-321
X=45, Y=-200, Z=-321
X=44, Y=-200, Z=-320

X=145, Y=1, Z=-328
X=146, Y=0, Z=-329
X=144, Y=1, Z=-330
X=145, Y=0, Z=-331
X=147, Y=-1, Z=-332
X=148, Y=0, Z=-332
X=147, Y=-1, Z=-331
X=148, Y=-1, Z=-332
X=147, Y=0, Z=-331
X=147, Y=-1, Z=-333
X=146, Y=1, Z=-332
X=147, Y=-1, Z=-332
X=147, Y=0, Z=-333
X=145, Y=-1, Z=-333
X=146, Y=-1, Z=-334
X=145, Y=0, Z=-333
X=145, Y=-1, Z=-334
X=144, Y=-1, Z=-333
X=144, Y=-1, Z=-332
X=144, Y=-2, Z=-333
X=143, Y=-2, Z=-333
X=144, Y=0, Z=-332
X=143, Y=0, Z=-332
X=143, Y=-2, Z=-332
X=143, Y=0, Z=-332
X=144, Y=0, Z=-332
X=143, Y=0, Z=-332


0143254182X=0, Y=-1, Z=-1
0145254182X=1, Y=-1, Z=-1
0145254183X=0, Y=-1, Z=-1
0145254182X=1, Y=-1, Z=-1
0145254182X=1, Y=-1, Z=-1
0145254181X=1, Y=-1, Z=-1
0146254182X=2, Y=-1, Z=-1
0146254181X=1, Y=-1, Z=-1
0147254182X=2, Y=-1, Z=-1
0146254182X=1, Y=-1, Z=-1
